Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Toyota,Yaris Hatchback Le,40.96393345,14955.0,2020,35085,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8173063,"Toyota_Yaris_Hatchback_2020_in_Bountiful,_UT",425230200
Ford,Fiesta Se,40.70394672,14500.0,2016,31895,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8230222,,262421280
Toyota,Corolla Le,40.62277786,14471.0,2019,35075,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8337787,,430686950
Hyundai,Elantra Gls,40.14150116,11995.0,2013,21809,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8162846,"Hyundai_Elantra_2013_in_Centerville,_UT",307310619
Nissan,Sentra Sr,40.12054344934187,13995.0,2019,32835,2023-02-11,KSL,False,11.0,https://cars.ksl.com/listing/8376218,,402801390
Chevrolet,Spark Lt,39.72548082019938,13994.0,2016,25282,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8308537,,463082736
Chevrolet,Sonic Ls,39.41585278,12471.0,2020,28871,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8124981,https://img.ksl.com/mx/mplace-cars.ksl.com/2733291-1663481599-912674.jpg?filter=marketplace/400x300_dealer,528965268
Chevrolet,Trax Lt,38.80907545792913,13999.0,2018,31874,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383614,,582619322
Hyundai,Elantra Sel,36.86160541,13971.0,2018,31764,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8308135,,454230780
Nissan,Juke Sv,36.74374639,12741.0,2014,24647,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8210767,"Nissan_Juke_2014_in_Kaysville,_UT",297834348
Nissan,Leaf,36.50435306,11995.0,2015,27000,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8328080,,328157280
Nissan,Sentra S,36.28310114,12995.0,2018,28764,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8295131,"Nissan_Sentra_2018_in_Bountiful,_UT",348274512
Subaru,Forester 2.5i Premium,35.98188741,12995.0,2016,26986,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8283001,"Subaru_Forester_2016_in_Lehi,_UT",326422656
Hyundai,Elantra Se,35.78132632105301,12990.0,2019,41044,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8390083,,584621352
Ford,Focus Se,35.63580033,12249.0,2018,41709,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8276221,https://cars.ksl.com/images/no-image-defaults/cars-noimage_sedan-lrg.png?filter=marketplace/400x300_dealer,340300752
Ford,Fiesta Se,34.905149620952926,12992.0,2017,54377,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8370562,,442689188
