Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Nissan,Versa Note,17.09143664,14450,2018,46318,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2171504000/nissan/versa-note?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_15_0.png,560818344,,,,,,,,,,,,FALSE,
Nissan,Versa Note,17.09143664,14450,2018,46318,12/29/2022,CarsDirect,,Images/2022_12_29_88_0.png,563274844,,,,,,,,,,,,FALSE,
Nissan,Altima,16.98583864,14679,2018,46104,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2163144302/nissan/altima?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_134_16.png,558227232,,,,,,,,,,,,FALSE,
Nissan,Leaf,15.74748412,13848,2015,45826,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2166632396/nissan/leaf?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_131_16.png,554036340,,,,,,,,,,,,FALSE,
Volkswagen,Jetta,13.96814476,11700,2013,49308,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_173_1.png,993330540,,,,,,,,,,,,FALSE,1
Mitsubishi,Mirage,13.76934168,10662,2015,41925,12/29/2022,CarsDirect,,Images/2022_12_29_178_3.png,845620386,,,,,,,,,,,,FALSE,
Nissan,Juke,13.60780622,14977,2017,48964,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_127_6.png,593341132,,,,,,,,,,,,FALSE,1
Mitsubishi,Mirage,13.56869765,10841,2015,41925,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170375577/mitsubishi/mirage?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_62_2.png,844788750,,,,,,,,,,,,FALSE,
Volkswagen,Jetta,13.51884149,12100,2013,49308,1/12/2023,CarsDirect,,Images/2023_01_12_121_5.png,993356540,,,,,,,,,,,,FALSE,
Chevrolet,Malibu,12.50700046,14999,2015,48385,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_21_10.png,878541903,,,,,,,,,,,,FALSE,1
Fiat,500e,12.091411,12742,2017,43145,1/12/2023,CarsDirect,,Images/2023_01_12_65_8.png,348705476,,,,,,,,,,,,FALSE,
Fiat,500e,11.05189182,13730,2017,43145,12/29/2022,CarsDirect,,Images/2022_12_29_127_10.png,348697980,,,,,,,,,,,,FALSE,
Fiat,500e,10.94242604,13836,2017,43145,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169884903/fiat/500e?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_109_5.png,348702644,,,,,,,,,,,,FALSE,
Kia,Optima,8.546336451,14995,2015,43000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2167503765/kia/optima?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_38_20.png,260744730,,,,,,,,,,,,FALSE,
Dodge,Charger,6.219401077,13667,2010,43763,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170121983/dodge/charger?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_100_15.png,440392164,,,,,,,,,,,,FALSE,
Mazda,Mx-5 Miata,3.575394381,13965,2006,44225,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169769235/mazda/mx-5-miata?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_61_6.png,443576750,,,,,,,,,,,,FALSE,
