Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Buick,Encore Convenience Awd,41.710661360048746,11499.0,2015,13890,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=347112514/NONE,2017_Honda_Fit_LX,150313848
Lincoln,Nautilus Reserve Awd,41.46523102047552,12950.0,2020,17458,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=316641787/NONE,2017_Hyundai_Elantra_SE_FWD,257475120
Nissan,Sentra S Fwd,41.43600452044459,12995.0,2018,28764,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=346220078/NONE,2019_Buick_Encore_Sport_Touring_AWD,354668052
Mitsubishi,Mirage Es Fwd,41.24695967624247,8995.0,2019,23736,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348965223/NONE,2021_Jeep_Compass_Trailhawk_4WD,484024175
Nissan,Versa S Plus,41.13486624474794,9995.0,2017,33376,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=337860466/NONE,2020_Honda_CR-V_LX_AWD,408833892
Buick,Encore Sport Touring Awd,40.60658766719707,12950.0,2019,17142,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348934322/NONE,2021_Mazda_MAZDA3_Premium_Sedan_FWD,185480490
Ford,Focus Se Hatchback,40.53296278357551,10999.0,2018,47099,2023-02-01,CarGuru,True,8,,2016_Hyundai_Accent_SE_Sedan_FWD,388102408
Ford,Focus Electric Hatchback,40.220355203871954,12447.0,2015,41180,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=349009267/NONE,2004_Nissan_350Z_Touring_Roadster,343859920
Chevrolet,Spark Ls Fwd,39.89849854148289,14177.0,2017,26983,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=347825077/NONE,2015_Nissan_LEAF_S,496457235
Chevrolet,Spark Ev 1lt Fwd,39.624441206733074,14608.0,2016,25282,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=346218902/NONE,2014_Mazda_MAZDA2_Sport,467832000
Hyundai,Accent Se Sedan Fwd,38.807652558481465,13695.0,2019,31397,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348359291/NONE,2019_Nissan_Versa_Note_SV_FWD,453621591
