Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Focus Electric,41.65012890619008,12447.0,2015,41180,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_126_7.png,339055378,,,,,,,,,,,,False,1.0
Chevrolet,Spark,41.402045909723206,13477.0,2017,26983,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_80_17.png,492585184,,,,,,,,,,,,False,8.0
Ford,Fiesta,41.20875294,13677.0,2016,32706,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170793399/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_199_3.png,263741184,,,,,,,,,,,,False,
Chevrolet,Spark,40.711119219417945,13863.0,2017,26983,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_153_23.png,492594999,,,,,,,,,,,,False,1.0
Ford,Focus,40.52966229972226,13995.0,2018,47105,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_28_11.png,383030560,,,,,,,,,,,,False,8.0
Ford,Fusion,40.00577643623288,13895.0,2017,45335,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_71_10.png,369097580,,,,,,,,,,,,False,1.0
Chevrolet,Spark,39.89849854,14177.0,2017,26983,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_139_14.png,492586914,,,,,,,,,,,,False,8.0
Ford,Fusion,39.652691014987454,14095.0,2017,45335,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_88_10.png,369061010,,,,,,,,,,,,False,8.0
Chevrolet,Cruze,38.08320316,14500.0,2018,29490,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_188_15.png,538352380,,,,,,,,,,,,False,8.0
Nissan,Versa Note,37.94952661070778,14927.0,2018,30864,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_32_18.png,379224302,,,,,,,,,,,,False,8.0
Hyundai,Elantra,37.45882184,14600.0,2018,25322,1/12/2023,CarsDirect,,Images/2023_01_12_30_17.png,361479972,,,,,,,,,,,,False,
Nissan,Versa,37.10645390267735,14995.0,2021,39927,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_76_9.png,486928877,,,,,,,,,,,,False,1.0
Mitsubishi,Mirage,36.61383106604731,12968.0,2021,27831,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_181_19.png,565265598,,,,,,,,,,,,False,8.0
Hyundai,Accent,34.05821512346818,13500.0,2016,34194,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_21_9.png,485299728,,,,,,,,,,,,False,11.0
Hyundai,Sonata,33.88611724,13995.0,2017,33785,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_21_17.png,479781425,,,,,,,,,,,,False,8.0
Nissan,Leaf,33.779295641758786,13267.0,2016,35134,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_77_20.png,426732108,,,,,,,,,,,,False,8.0
Ford,Focus,33.70040896,14995.0,2018,47105,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_128_5.png,382705735,,,,,,,,,,,,False,8.0
Nissan,Sentra,33.37366278,12349.0,2017,37377,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_162_0.png,454781556,,,,,,,,,,,,False,8.0
Chevrolet,Cruze,32.98703803,14500.0,2018,29490,1/12/2023,CarsDirect,,Images/2023_01_12_199_22.png,537917380,,,,,,,,,,,,False,
Nissan,Leaf,32.831382705202,13849.0,2016,35134,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_61_25.png,426753536,,,,,,,,,,,,False,1.0
Hyundai,Sonata,32.80613897,13995.0,2017,35000,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_107_16.png,496852040,,,,,,,,,,,,False,8.0
